"beertype","meal","beer_description","photourl","meal_photourl"
"Stout","Bbq","Stout має насичену, кремову текстуру та глибокий, смажений смак з нотками шоколаду та кави. Воно ідеально підходить для солодких десертів та ситних страв, таких як барбекю, мясо дичини та рагу.","../src/stout.png","../src/bbq.png"
"Stout","Молюски ","Stout має насичену, кремову текстуру та глибокий, смажений смак з нотками шоколаду та кави. Воно ідеально підходить для солодких десертів та ситних страв, таких як барбекю, мясо дичини та рагу.","../src/stout.png","../src/молюски.png"
"Stout","Мексиканська Їжа","Stout має насичену, кремову текстуру та глибокий, смажений смак з нотками шоколаду та кави. Воно ідеально підходить для солодких десертів та ситних страв, таких як барбекю, мясо дичини та рагу.","../src/stout.png","../src/мексиканська_їжа.webp"
"Wheat Beer","Гострі Курячі Крильця","Wheat beer має освіжаючий, легкий смак з нотками цитрусу та хвої. Воно ідеально поєднується з гострими стравами, смаженим мясом та насиченими стравами з багатим смаком.","../src/wheatbeer.png","../src/гострі_курячі_крильця.png"
"Wheat Beer","Гостра Локшина","Wheat beer має освіжаючий, легкий смак з нотками цитрусу та хвої. Воно ідеально поєднується з гострими стравами, смаженим мясом та насиченими стравами з багатим смаком.","../src/wheatbeer.png","../src/гостра_локшина.png"
"Wheat Beer","Салати","Wheat beer має освіжаючий, легкий смак з нотками цитрусу та хвої. Воно ідеально поєднується з гострими стравами, смаженим мясом та насиченими стравами з багатим смаком.","../src/wheatbeer.png","../src/салат.png"
"Wheat Beer","Фруктові Пироги","Wheat beer має освіжаючий, легкий смак з нотками цитрусу та хвої. Воно ідеально поєднується з гострими стравами, смаженим мясом та насиченими стравами з багатим смаком.","../src/wheatbeer.png","../src/фруктові_пироги.png"
"Wheat Beer","Тістечка","Wheat beer має освіжаючий, легкий смак з нотками цитрусу та хвої. Воно ідеально поєднується з гострими стравами, смаженим мясом та насиченими стравами з багатим смаком.","../src/wheatbeer.png","../src/тістечка.png"
"Wheat Beer","Гостра Їжа","Wheat beer має освіжаючий, легкий смак з нотками цитрусу та хвої. Воно ідеально поєднується з гострими стравами, смаженим мясом та насиченими стравами з багатим смаком.","../src/wheatbeer.png","../src/гостра_їжа.png"
"Wheat Beer","Фруктові Десерти","Wheat beer має освіжаючий, легкий смак з нотками цитрусу та хвої. Воно ідеально поєднується з гострими стравами, смаженим мясом та насиченими стравами з багатим смаком.","../src/wheatbeer.png","../src/фруктовий_десерт.png"
